dataset,method,tlb
DiatomSizeReduction,sax,0.014791997439344895
InsectEPGSmallTrain,sax,0.31952295775550105
Fungi,sax,0.16864301958589836
BeetleFly,sax,0.25278178581297583
BirdChicken,sax,0.3107801968641511
Rock,sax,0.1979441374934472
DodgerLoopGame,sax,0.12627146446817158
DodgerLoopWeekend,sax,0.12627146446817158
ShapeletSim,sax,0.005
Chinatown,sax,0.0203859508642726
SonyAIBORobotSurface1,sax,0.05727433005233569
MoteStrain,sax,0.1503177826246837
ECGFiveDays,sax,0.009005905148738304
TwoLeadECG,sax,0.028304711676870545
FaceFour,sax,0.021559499790430228
Symbols,sax,0.27475631821310076
SonyAIBORobotSurface2,sax,0.07252223674626625
Coffee,sax,0.017857142857142856
FreezerSmallTrain,sax,0.20641489257693516
Beef,sax,0.12271121558899287
OliveOil,sax,0.016666666666666666
BME,sax,0.33577850043265584
CBF,sax,0.22338619472143487
ToeSegmentation2,sax,0.3097471577784398
UMD,sax,0.3068374133827954
ArrowHead,sax,0.06647554912029893
HouseTwenty,sax,0.20337653541146974
ToeSegmentation1,sax,0.29315877749480673
CinCECGTorso,sax,0.14753233656719575
PickupGestureWiimoteZ,sax,0.2835936120095827
ShakeGestureWiimoteZ,sax,0.2364936755279807
GunPoint,sax,0.2116036087931403
Mallat,sax,0.0004166666666666667
Wine,sax,0.009009009009009009
Car,sax,0.04655016611376838
Meat,sax,0.008333333333333333
Lightning2,sax,0.12757335248314708
InsectEPGRegularTrain,sax,0.31604083175859327
Herring,sax,0.011558066088747695
ItalyPowerDemand,sax,0.12130047342132924
Lightning7,sax,0.1415566550293057
DodgerLoopDay,sax,0.12627146446817156
ACSF1,sax,0.005
ECG200,sax,0.16980319571862146
Trace,sax,0.28909220803074603
InlineSkate,sax,0.21176764563604739
MixedShapesSmallTrain,sax,0.29267826013965687
PigAirwayPressure,sax,0.3161853833788525
PigArtPressure,sax,0.006919664884578053
PigCVP,sax,0.20047682769259945
Plane,sax,0.060005350969020856
Ham,sax,0.019972752865133427
GesturePebbleZ1,sax,0.21674914697808498
GunPointAgeSpan,sax,0.26019674898842104
GunPointMaleVersusFemale,sax,0.26019674898842104
GunPointOldVersusYoung,sax,0.26019674898842104
GesturePebbleZ2,sax,0.21674914697808495
SmoothSubspace,sax,0.4059562856267247
FreezerRegularTrain,sax,0.2061497656414506
Haptics,sax,0.07039432010811367
Fish,sax,0.0048549467413553475
PowerCons,sax,0.22359964527895926
Worms,sax,0.2883969428528328
WormsTwoClass,sax,0.2883969428528328
OSULeaf,sax,0.29007039763050146
FacesUCR,sax,0.015974321869023565
GestureMidAirD1,sax,0.3636200706996599
GestureMidAirD2,sax,0.38910614485611944
GestureMidAirD3,sax,0.3798886919221292
Phoneme,sax,0.0074538416850434665
InsectWingbeatSound,sax,0.13768168880896212
Computers,sax,0.20172176552985266
WordSynonyms,sax,0.27609603335665034
SyntheticControl,sax,0.2967799600276827
SemgHandGenderCh2,sax,0.010915705001139938
AllGestureWiimoteX,sax,0.29236382712740366
AllGestureWiimoteY,sax,0.31023761128899235
AllGestureWiimoteZ,sax,0.2982897304539427
Yoga,sax,0.27655667561802566
Earthquakes,sax,0.00491203819349116
EOGHorizontalSignal,sax,0.30766291042066346
EOGVerticalSignal,sax,0.2694680633985269
LargeKitchenAppliances,sax,0.1580097019678605
RefrigerationDevices,sax,0.02350408229205465
ScreenType,sax,0.21169140648368395
SmallKitchenAppliances,sax,0.008085342927665638
MedicalImages,sax,0.12626622519815317
CricketX,sax,0.26785111846387333
CricketY,sax,0.27316804719450444
CricketZ,sax,0.2678630061687153
Adiac,sax,0.0027117794067702383
MiddlePhalanxTW,sax,0.0018083182640144665
DistalPhalanxOutlineAgeGroup,sax,0.0018552875695732839
DistalPhalanxTW,sax,0.0018552875695732839
MiddlePhalanxOutlineAgeGroup,sax,0.0018050541516245488
ProximalPhalanxOutlineAgeGroup,sax,0.001652892561983471
ProximalPhalanxTW,sax,0.001652892561983471
SemgHandMovementCh2,sax,0.010915705001139938
SemgHandSubjectCh2,sax,0.010915705001139937
FiftyWords,sax,0.28170503680477327
ChlorineConcentration,sax,0.02374245284096596
SwedishLeaf,sax,0.13304375930986398
MixedShapesRegularTrain,sax,0.29417802767141066
ECG5000,sax,0.10882760873672141
EthanolLevel,sax,0.00099601593625498
PLAID,sax,0.13498015586065432
FaceAll,sax,0.021066214648193457
DistalPhalanxOutlineCorrect,sax,0.0070227132878158275
MiddlePhalanxOutlineCorrect,sax,0.001122334455667789
ProximalPhalanxOutlineCorrect,sax,0.001122334455667789
ShapesAll,sax,0.3397645682041108
Strawberry,sax,0.005755254529346951
UWaveGestureLibraryAll,sax,0.26184830930202757
UWaveGestureLibraryX,sax,0.38244928417439916
UWaveGestureLibraryY,sax,0.382050989191986
UWaveGestureLibraryZ,sax,0.3770886514692957
HandOutlines,sax,0.006988836269916241
TwoPatterns,sax,0.2511063799133131
Wafer,sax,0.297484581291812
StarLightCurves,sax,0.21481404803548423
MelbournePedestrian,sax,0.17178528789051503
PhalangesOutlinesCorrect,sax,0.0024870303503837115
NonInvasiveFetalECGThorax1,sax,0.012289337833029667
NonInvasiveFetalECGThorax2,sax,0.01574321534383213
FordA,sax,0.000203210729526519
FordB,sax,0.0002249212775528565
Crop,sax,0.3286075691149448
ElectricDevices,sax,0.12539562961402703
